name,item_code,price_list,price_list_rate,uom,currency,selling,buying,note,reference
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PAD-KIT-DISC-BRAKE-PADS-FRONT,Standard Selling,739947.00,PCS,UGX,1,0,Source VAT: 133191.00; source inclusive: 873138.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-MFLR-ASSY-EXHAUST-PIPE-COMPLETE-SILENCERS-PIPES-ETC,Standard Selling,1300084.00,PCS,UGX,1,0,Source VAT: 234015.00; source inclusive: 1534099.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CONVERTER-ASSY-CATALYTIC-CONVERTER,Standard Selling,6177855.00,PCS,UGX,1,0,Source VAT: 1112014.00; source inclusive: 7289869.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BOLT-HEX-HD-EXHAUST-BOLT,Standard Selling,123752.00,PCS,UGX,1,0,Source VAT: 22275.00; source inclusive: 146027.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-SCR-HEX-HD-PP-W-EXHAUST-BOLT,Standard Selling,56339.00,Set,UGX,1,0,Source VAT: 10141.00; source inclusive: 66480.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CLAMP-EXH-MTG-EXHAUST-CLAMP,Standard Selling,221354.00,PCS,UGX,1,0,Source VAT: 39844.00; source inclusive: 261198.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-GASKET-EXHAUST-BIG-EXHAUST-MANIFOLD-GASKET,Standard Selling,28488.00,PCS,UGX,1,0,Source VAT: 5128.00; source inclusive: 33615.00; arithmetic delta: 1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BRACKET-EXH-M-EXHAUST-MOUNTING-BRACKET,Standard Selling,124126.00,PCS,UGX,1,0,Source VAT: 22343.00; source inclusive: 146468.00; arithmetic delta: 1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-INSUL-EXH-MTG-EXHAUST-MOUNTING,Standard Selling,207681.00,PCS,UGX,1,0,Source VAT: 37382.00; source inclusive: 245063.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-MNTG-BRACKET-EXHAUST-MOUNTING-FRONT,Standard Selling,148480.00,PCS,UGX,1,0,Source VAT: 26726.00; source inclusive: 175206.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BRKT-EXH-MTG-EXHAUST-PIPE-BRACKET,Standard Selling,35577.00,PCS,UGX,1,0,Source VAT: 6404.00; source inclusive: 41981.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-INSUL-HEAT-EXH-EXHAUST-INSULATOR,Standard Selling,41693.00,PCS,UGX,1,0,Source VAT: 7505.00; source inclusive: 49198.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-INJECTOR-FUEL-INJECTOR-NOZZLE-COMPLETE,Standard Selling,20764687.00,Set,UGX,1,0,Source VAT: 3737644.00; source inclusive: 24502331.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-16401-VC10C-COVER-UPPER-FUEL-LIFT-PUMP,Standard Selling,319325.00,PCS,UGX,1,0,Source VAT: 57478.00; source inclusive: 376803.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-GASKET-NOZZLE-INJECTOR-NOZZLE-SEAL,Standard Selling,77513.00,Set,UGX,1,0,Source VAT: 13952.00; source inclusive: 91465.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-TUBE-ASSY-FUEL-FUEL-RETURN-PIPE,Standard Selling,5720165.00,PCS,UGX,1,0,Source VAT: 1029630.00; source inclusive: 6749795.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL,Standard Selling,454772.00,PCS,UGX,1,0,Source VAT: 81859.00; source inclusive: 536631.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-TUBE-INJECTION-FUEL-RAIL-PIPE1,Standard Selling,293330.00,PCS,UGX,1,0,Source VAT: 52799.00; source inclusive: 346130.00; arithmetic delta: -1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL-PIPE2,Standard Selling,450321.00,PCS,UGX,1,0,Source VAT: 81058.00; source inclusive: 531378.00; arithmetic delta: 1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL-PIPE3,Standard Selling,297427.00,PCS,UGX,1,0,Source VAT: 53537.00; source inclusive: 350963.00; arithmetic delta: 1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL-PIPE4,Standard Selling,608639.00,PCS,UGX,1,0,Source VAT: 109555.00; source inclusive: 718194.00; arithmetic delta: 0.00,docs/item details.csv
